datetime,u-comp,v-comp
2020-03-27 04.00.00,1.662758,-3.345694
2020-03-27 04.01.00,1.710038,-3.842012
2020-03-27 04.02.00,1.765978,-3.948510
2020-03-27 04.03.00,1.683061,-4.100330
2020-03-27 04.04.00,1.499924,-3.821791
2020-03-27 04.05.00,1.318095,-3.612932
2020-03-27 04.06.00,1.456721,-3.531353
2020-03-27 04.07.00,1.458410,-3.685716
2020-03-27 04.08.00,1.369878,-3.404817
2020-03-27 04.09.00,1.753224,-3.335626
2020-03-27 04.10.00,1.769547,-3.876639
2020-03-27 04.11.00,1.820213,-3.915346
2020-03-27 04.12.00,1.956686,-3.990860
2020-03-27 04.13.00,1.852795,-4.049655
2020-03-27 04.14.00,1.923279,-4.391761
2020-03-27 04.15.00,1.740497,-4.273128
2020-03-27 04.16.00,1.829775,-4.145389
2020-03-27 04.17.00,1.605168,-3.899581
2020-03-27 04.18.00,1.482001,-3.718751
2020-03-27 04.19.00,1.573848,-3.547687
2020-03-27 04.20.00,1.826802,-3.505020
2020-03-27 04.21.00,2.072675,-3.932565
2020-03-27 04.22.00,2.081740,-4.385122
2020-03-27 04.23.00,2.049580,-4.546366
2020-03-27 04.24.00,1.978365,-4.695634
2020-03-27 04.25.00,1.847426,-4.720135
2020-03-27 04.26.00,1.901230,-4.587710
2020-03-27 04.27.00,1.894110,-4.739611
2020-03-27 04.28.00,1.597373,-4.346605
2020-03-27 04.29.00,1.425613,-4.301839
2020-03-27 04.30.00,1.554801,-4.358763
2020-03-27 04.31.00,1.754361,-4.439306
2020-03-27 04.32.00,2.002580,-4.418077
2020-03-27 04.33.00,1.994509,-4.181262
2020-03-27 04.34.00,1.815047,-3.926022
2020-03-27 04.35.00,1.997888,-3.854590
2020-03-27 04.36.00,2.252500,-4.106332
2020-03-27 04.37.00,2.354691,-3.625675
2020-03-27 04.38.00,2.442397,-3.307143
2020-03-27 04.39.00,2.255962,-3.180125
2020-03-27 04.40.00,2.084111,-3.295464
2020-03-27 04.41.00,2.048726,-3.160393
2020-03-27 04.42.00,1.991910,-3.321876
2020-03-27 04.43.00,1.894120,-3.620552
2020-03-27 04.44.00,1.741112,-3.397556
2020-03-27 04.45.00,1.583588,-3.346075
2020-03-27 04.46.00,1.780096,-3.546262
2020-03-27 04.47.00,1.728738,-3.383104
2020-03-27 04.48.00,1.855230,-3.990670
2020-03-27 04.49.00,1.983199,-3.890009
2020-03-27 04.50.00,1.975198,-3.766988
2020-03-27 04.51.00,1.865643,-3.433705
2020-03-27 04.52.00,2.015016,-3.598561
2020-03-27 04.53.00,1.853262,-3.506861
2020-03-27 04.54.00,1.792908,-3.334903
2020-03-27 04.55.00,1.848411,-3.408368
2020-03-27 04.56.00,1.763567,-3.188556
2020-03-27 04.57.00,2.069727,-2.964127
2020-03-27 04.58.00,2.178460,-2.948502
2020-03-27 04.59.00,2.419951,-3.160398
2020-03-27 05.00.00,2.433097,-3.606988
2020-03-27 05.01.00,2.291252,-3.448612
2020-03-27 05.02.00,2.114287,-3.364372
2020-03-27 05.03.00,1.851890,-3.045225
2020-03-27 05.04.00,1.626334,-3.198528
2020-03-27 05.05.00,1.636416,-3.233942
2020-03-27 05.06.00,1.563297,-3.106244
2020-03-27 05.07.00,1.581234,-2.998654
2020-03-27 05.08.00,1.405935,-2.843236
2020-03-27 05.09.00,1.441451,-2.959125
2020-03-27 05.10.00,1.482139,-2.861984
2020-03-27 05.11.00,1.602294,-2.709870
2020-03-27 05.12.00,1.728527,-2.545839
2020-03-27 05.13.00,1.938492,-2.630428
2020-03-27 05.14.00,1.920651,-2.606695
2020-03-27 05.15.00,1.914524,-2.314673
2020-03-27 05.16.00,1.935468,-2.090360
2020-03-27 05.17.00,1.691185,-2.223753
2020-03-27 05.18.00,1.676754,-2.378420
2020-03-27 05.19.00,1.591792,-2.417904
2020-03-27 05.20.00,1.429130,-2.240839
2020-03-27 05.21.00,1.508603,-2.304656
2020-03-27 05.22.00,1.390593,-2.267613
2020-03-27 05.23.00,1.312670,-2.169042
2020-03-27 05.24.00,1.363421,-2.068653
2020-03-27 05.25.00,1.173081,-1.901112
2020-03-27 05.26.00,1.231558,-1.796850
2020-03-27 05.27.00,1.148953,-1.682724
2020-03-27 05.28.00,1.039521,-1.526741
2020-03-27 05.29.00,1.240323,-1.385927
2020-03-27 05.30.00,1.244883,-1.426198
2020-03-27 05.31.00,1.160078,-1.708713
2020-03-27 05.32.00,1.406272,-1.564201
2020-03-27 05.33.00,1.483468,-1.485108
2020-03-27 05.34.00,1.451632,-1.511018
2020-03-27 05.35.00,1.417944,-1.335969
2020-03-27 05.36.00,1.189667,-1.307656
2020-03-27 05.37.00,0.981043,-1.338953
2020-03-27 05.38.00,1.084348,-1.527896
2020-03-27 05.39.00,1.332183,-1.557950
2020-03-27 05.40.00,1.210709,-1.835091
2020-03-27 05.41.00,1.066893,-1.799355
2020-03-27 05.42.00,0.911238,-1.697436
2020-03-27 05.43.00,0.917277,-1.756954
2020-03-27 05.44.00,0.920546,-1.690389
2020-03-27 05.45.00,0.980579,-1.580075
2020-03-27 05.46.00,1.016753,-1.614889
2020-03-27 05.47.00,0.918404,-1.444386
2020-03-27 05.48.00,0.880933,-1.654703
2020-03-27 05.49.00,0.922184,-1.573186
2020-03-27 05.50.00,1.076012,-1.466958
2020-03-27 05.51.00,1.092411,-1.265719
2020-03-27 05.52.00,1.106559,-1.364051
2020-03-27 05.53.00,1.161660,-1.169390
2020-03-27 05.54.00,1.108985,-1.193967
2020-03-27 05.55.00,1.034894,-1.116215
2020-03-27 05.56.00,1.146430,-1.138653
2020-03-27 05.57.00,1.196872,-1.275802
2020-03-27 05.58.00,1.201520,-1.326410
2020-03-27 05.59.00,1.171521,-1.395340
2020-03-27 06.00.00,1.164069,-1.542529
